CLASS 1 :   ACTIVITY_CLASS
CLASS 2 :   ADVERSE_EFFECT
CLASS 3 :   CTD_CHEM2DISEASE
CLASS 4 :   CTD_CHEM2GENE_25
CLASS 5 :   CTD_CHEMICALS_DISEASES
CLASS 6 :   CTD_CHEMICALS_GENES
CLASS 7 :   CTD_CHEMICALS_GOENRICH_CELLCOMP
CLASS 8 :   CTD_CHEMICALS_GOENRICH_MOLFUNCT
CLASS 9 :   CTD_CHEMICALS_PATHWAYS
CLASS 10 :  CTD_GOFAT_BIOPROCESS
CLASS 11 :  CTD_GOSLIM_BIOPROCESS
CLASS 12 :  CTD_PATHWAY
CLASS 13 :  DRUGBANK_ATC
CLASS 14 :  DRUGBANK_ATC_CODE
CLASS 15 :  DRUGBANK_CARRIERS
CLASS 16 :  DRUGBANK_ENZYMES
CLASS 17 :  DRUGBANK_TARGETS
CLASS 18 :  DRUGBANK_TRANSPORTERS
CLASS 19 :  HTS_ACTIVE
CLASS 20 :  INDICATION
CLASS 21 :  KNOWN_TOXICITY
CLASS 22 :  LEADSCOPE_TOXICITY
CLASS 23 :  MECH_LEVEL_1
CLASS 24 :  MECH_LEVEL_2
CLASS 25 :  MECH_LEVEL_3
CLASS 26 :  MECHANISM
CLASS 27 :  MESH
CLASS 28 :  MODE_CLASS
CLASS 29 :  MULTICASE_TOX_PREDICTION
CLASS 30 :  PHARMACTIONLIST
CLASS 31 :  PRODUCT_CLASS
CLASS 32 :  STRUCTURE_ACTIVITY
CLASS 33 :  TA_LEVEL_1
CLASS 34 :  TA_LEVEL_2
CLASS 35 :  TA_LEVEL_3
CLASS 36 :  THERAPEUTIC_CLASS
CLASS 37 :  TISSUE_TOXICITY
CLASS 38 :  TOXCAST_ACTIVE
CLASS 39 :  TOXINS_TARGETS
CLASS 40 :  TOXPRINT_STRUCTURE
CLASS 41 :  TOXREFDB
